"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"1","m",26,4,1,14,"yl3.wav",3,2,0,1.278,-36
"1","m",26,4,1,15,"yl8.wav",8,2,1,1.895,24
"1","m",26,4,1,16,"yl6.wav",6,2,1,1.179,0
"1","m",26,4,1,17,"yl1.wav",1,2,0,1.677,-60
"1","m",26,4,1,18,"yl9.wav",9,2,1,1.63,36
"1","m",26,4,1,19,"yl11.wav",11,2,1,1.493,60
"1","m",26,4,1,20,"yl7.wav",7,2,1,1.078,12
"1","m",26,4,1,21,"yl10.wav",10,2,1,1.409,48
"1","m",26,4,1,22,"yl5.wav",5,2,0,2.494,-12
"1","m",26,4,2,1,"yl6.wav",6,1,1,1.563,0
"1","m",26,4,2,2,"yl4.wav",4,1,1,1.412,-24
"1","m",26,4,2,3,"yl2.wav",2,1,1,1.248,-48
"1","m",26,4,2,4,"yl9.wav",9,1,1,1.197,36
"1","m",26,4,2,5,"yl1.wav",1,1,0,1.848,-60
"1","m",26,4,2,6,"yl3.wav",3,1,1,1.693,-36
"1","m",26,4,2,7,"yl10.wav",10,1,1,1.112,48
"1","m",26,4,2,8,"yl11.wav",11,1,1,1.16,60
"1","m",26,4,2,9,"yl7.wav",7,1,1,1.476,12
"1","m",26,4,2,10,"yl8.wav",8,1,1,1.33,24
"1","m",26,4,2,11,"yl5.wav",5,1,0,2.063,-12
"1","m",26,4,2,12,"yl6.wav",6,2,1,1.877,0
"1","m",26,4,2,13,"yl3.wav",3,2,0,1.893,-36
"1","m",26,4,2,14,"yl4.wav",4,2,1,1.75,-24
"1","m",26,4,2,15,"yl2.wav",2,2,1,1.577,-48
"1","m",26,4,2,16,"yl7.wav",7,2,1,1.012,12
"1","m",26,4,2,17,"yl10.wav",10,2,1,1.129,48
"1","m",26,4,2,18,"yl8.wav",8,2,1,0.96,24
"1","m",26,4,2,19,"yl5.wav",5,2,0,2.377,-12
"1","m",26,4,2,20,"yl1.wav",1,2,0,1.525,-60
"1","m",26,4,2,21,"yl9.wav",9,2,1,1.575,36
"1","m",26,4,2,22,"yl11.wav",11,2,1,1.111,60
"1","m",26,4,3,1,"yl5.wav",5,1,0,1.731,-12
"1","m",26,4,3,2,"yl8.wav",8,1,1,1.493,24
"1","m",26,4,3,3,"yl4.wav",4,1,0,1.68,-24
"1","m",26,4,3,4,"yl1.wav",1,1,0,1.276,-60
"1","m",26,4,3,5,"yl10.wav",10,1,1,1.378,48
"1","m",26,4,3,6,"yl3.wav",3,1,0,1.542,-36
"1","m",26,4,3,7,"yl6.wav",6,1,1,1.543,0
"1","m",26,4,3,8,"yl11.wav",11,1,1,2.043,60
"1","m",26,4,3,9,"yl9.wav",9,1,1,1.144,36
"1","m",26,4,3,10,"yl2.wav",2,1,0,1.461,-48
"1","m",26,4,3,11,"yl7.wav",7,1,1,1.877,12
"1","m",26,4,3,12,"yl10.wav",10,2,1,1.18,48
"1","m",26,4,3,13,"yl5.wav",5,2,0,2.077,-12
"1","m",26,4,3,14,"yl11.wav",11,2,1,1.812,60
"1","m",26,4,3,15,"yl9.wav",9,2,1,1.011,36
"1","m",26,4,3,16,"yl4.wav",4,2,0,1.645,-24
"1","m",26,4,3,17,"yl3.wav",3,2,0,1.731,-36
"1","m",26,4,3,18,"yl1.wav",1,2,0,1.094,-60
"1","m",26,4,3,19,"yl7.wav",7,2,1,1.397,12
"1","m",26,4,3,20,"yl8.wav",8,2,1,1.828,24
"1","m",26,4,3,21,"yl2.wav",2,2,0,1.616,-48
"1","m",26,4,3,22,"yl6.wav",6,2,1,1.795,0
"2","f",28,7,1,1,"yl7.wav",7,1,1,1.9349,12
"2","f",28,7,1,2,"yl1.wav",1,1,0,1.6233,-60
"2","f",28,7,1,3,"yl10.wav",10,1,1,1.5097,48
"2","f",28,7,1,4,"yl3.wav",3,1,0,1.2088,-36
"2","f",28,7,1,5,"yl11.wav",11,1,1,1.3742,60
"2","f",28,7,1,6,"yl8.wav",8,1,1,0.9924,24
"2","f",28,7,1,7,"yl9.wav",9,1,1,0.8422,36
"2","f",28,7,1,8,"yl2.wav",2,1,0,1.3599,-48
"2","f",28,7,1,9,"yl6.wav",6,1,0,0.8751,0
"2","f",28,7,1,10,"yl4.wav",4,1,0,0.8123,-24
"2","f",28,7,1,11,"yl5.wav",5,1,0,0.7933,-12
"2","f",28,7,1,12,"yl7.wav",7,2,1,1.2246,12
"2","f",28,7,1,13,"yl4.wav",4,2,0,1.2453,-24
"2","f",28,7,1,14,"yl5.wav",5,2,0,0.7783,-12
"2","f",28,7,1,15,"yl6.wav",6,2,0,0.8268,0
"2","f",28,7,1,16,"yl2.wav",2,2,0,0.8099,-48
"2","f",28,7,1,17,"yl9.wav",9,2,1,1.2242,36
"2","f",28,7,1,18,"yl8.wav",8,2,1,0.8411,24
"2","f",28,7,1,19,"yl10.wav",10,2,1,0.6908,48
"2","f",28,7,1,20,"yl11.wav",11,2,1,0.9665,60
"2","f",28,7,1,21,"yl1.wav",1,2,0,1.2074,-60
"2","f",28,7,1,22,"yl3.wav",3,2,0,0.8258,-36
"2","f",28,7,2,1,"yl5.wav",5,1,0,0.9119,-12
"2","f",28,7,2,2,"yl3.wav",3,1,0,0.9095,-36
"2","f",28,7,2,3,"yl10.wav",10,1,1,1.2252,48
"2","f",28,7,2,4,"yl9.wav",9,1,1,0.8078,36
"2","f",28,7,2,5,"yl11.wav",11,1,1,0.7159,60
"2","f",28,7,2,6,"yl6.wav",6,1,0,1.3912,0
"2","f",28,7,2,7,"yl2.wav",2,1,0,1.0267,-48
"2","f",28,7,2,8,"yl8.wav",8,1,1,1.2323,24
"2","f",28,7,2,9,"yl7.wav",7,1,1,0.7931,12
"2","f",28,7,2,10,"yl4.wav",4,1,0,1.3417,-24
"2","f",28,7,2,11,"yl1.wav",1,1,0,0.827,-60
"2","f",28,7,2,12,"yl6.wav",6,2,0,0.9752,0
"2","f",28,7,2,13,"yl3.wav",3,2,0,0.8935,-36
"2","f",28,7,2,14,"yl7.wav",7,2,1,1.5252,12
"2","f",28,7,2,15,"yl2.wav",2,2,0,1.1962,-48
"2","f",28,7,2,16,"yl1.wav",1,2,0,0.7439,-60
"2","f",28,7,2,17,"yl8.wav",8,2,1,1.2137,24
"2","f",28,7,2,18,"yl9.wav",9,2,1,0.942,36
"2","f",28,7,2,19,"yl5.wav",5,2,0,2.2919,-12
